i;j;z_m;y_m;n_tubi;T_gas_C;p_gas_bar;v_gas_ms;Re_gas;h_conv_Wm2K;h_rad_Wm2K;eps_gas;x_in;x_out;alpha;G_cross_kgm2s;v_cross_ms;h_boil_Wm2K;U_o_Wm2K;q_lin_Wm;q_int_kWm2;q_est_kWm2;T_met_int_C;T_met_mid_C;T_met_est_C;T_met_media_spessore_C;T_parete_bollente_C;dT_superheat_K;dT_deposito_K;dT_met_sat_K;q_CHF_loc_kWm2;DNBR;ferrula
1;10;0.022;0.6417;66.6;966.99;34.7249;33.113;105368;2279.9;41.69;0.1164;0.08063;0.08785;0.3346;224.01;0.587;19919.3;107.1;8250.9;98.37;68.93;343.24;340.03;337.09;339.99;326.75;3.461;10.34;13.80;287;4.16;1
1;11;0.022;0.7843;38.2;966.99;34.7249;33.113;105368;2279.8;41.69;0.1164;0.08785;0.09199;0.3800;389.82;1.051;17466.9;107.0;8246.3;98.31;68.89;343.72;340.51;337.57;340.47;327.24;3.944;10.33;14.28;285;4.14;1
2;0;0.037;-0.7843;38.2;966.46;34.7245;33.099;105402;2279.4;41.65;0.1165;0.00000;0.00415;0.0140;389.42;0.602;18107.8;107.0;8239.2;98.23;68.84;343.56;340.36;337.42;340.31;327.09;3.801;10.33;14.13;313;4.54;1
2;1;0.037;-0.6417;66.6;966.45;34.7245;33.099;105402;2279.5;41.65;0.1165;0.00415;0.01137;0.0445;223.78;0.362;22835.7;107.1;8246.7;98.31;68.90;342.79;339.58;336.64;339.54;326.31;3.017;10.33;13.35;311;4.51;1
2;2;0.037;-0.4991;82.0;966.45;34.7245;33.099;105402;2279.5;41.64;0.1165;0.01137;0.02026;0.0816;181.62;0.313;25325.6;107.2;8249.5;98.35;68.92;342.50;339.29;336.35;339.25;326.01;2.721;10.34;13.06;308;4.47;1
2;3;0.037;-0.3565;91.9;966.45;34.7245;33.099;105402;2279.6;41.64;0.1165;0.02026;0.03024;0.1198;162.12;0.300;26857.3;107.2;8250.9;98.37;68.93;342.35;339.14;336.20;339.09;325.86;2.567;10.34;12.91;305;4.42;1
2;4;0.037;-0.2139;76.9;966.45;34.7245;33.099;105402;2279.5;41.65;0.1165;0.03024;0.03858;0.1646;193.61;0.381;24172.6;107.1;8248.2;98.33;68.91;342.63;339.42;336.48;339.37;326.14;2.851;10.34;13.19;302;4.38;1
2;5;0.037;-0.0713;68.4;966.46;34.7245;33.099;105402;2279.5;41.65;0.1165;0.03858;0.04600;0.2007;217.67;0.451;22196.1;107.1;8245.8;98.30;68.89;342.88;339.67;336.73;339.62;326.39;3.104;10.33;13.44;300;4.35;1
2;6;0.037;0.0713;68.4;966.46;34.7245;33.099;105402;2279.5;41.65;0.1165;0.04600;0.05343;0.2278;217.67;0.472;21693.2;107.1;8245.2;98.30;68.88;342.95;339.74;336.80;339.69;326.47;3.175;10.33;13.51;297;4.32;1
2;7;0.037;0.2139;76.9;966.46;34.7245;33.099;105402;2279.5;41.65;0.1165;0.05343;0.06177;0.2478;193.61;0.440;22388.3;107.1;8246.1;98.31;68.89;342.85;339.64;336.70;339.60;326.37;3.077;10.33;13.41;295;4.28;1
