i;j;z_m;y_m;n_tubi;T_gas_C;p_gas_bar;v_gas_ms;Re_gas;h_conv_Wm2K;h_rad_Wm2K;eps_gas;x_in;x_out;alpha;G_cross_kgm2s;v_cross_ms;h_boil_Wm2K;U_o_Wm2K;q_lin_Wm;q_int_kWm2;q_est_kWm2;T_met_int_C;T_met_mid_C;T_met_est_C;T_met_media_spessore_C;T_parete_bollente_C;dT_superheat_K;dT_deposito_K;dT_met_sat_K;q_CHF_loc_kWm2;DNBR;ferrula
18;4;0.390;-0.2139;76.9;926.26;34.7156;22.303;90115;1381.9;24.75;0.1299;0.03023;0.03857;0.2106;986.88;1.943;28497.8;582.0;42003.0;417.81;350.92;420.34;403.59;388.24;403.36;335.60;12.314;52.64;64.95;302;0.86;0
18;5;0.390;-0.0713;68.4;926.26;34.7156;22.303;90115;1382.0;24.75;0.1299;0.03857;0.04599;0.2486;1109.51;2.299;28608.2;582.0;42006.8;417.85;350.95;420.30;403.55;388.20;403.32;335.56;12.267;52.64;64.91;300;0.85;0
18;6;0.390;0.0713;68.4;926.25;34.7156;22.302;90116;1382.1;24.75;0.1299;0.04599;0.05340;0.2799;1109.51;2.407;28812.6;582.1;42013.3;417.91;351.00;420.22;403.47;388.12;403.24;335.47;12.182;52.65;64.83;297;0.85;0
18;7;0.390;0.2139;76.9;926.26;34.7156;22.303;90115;1382.0;24.75;0.1299;0.05340;0.06174;0.3082;986.88;2.242;28594.4;582.0;42005.9;417.84;350.94;420.31;403.56;388.21;403.32;335.56;12.273;52.64;64.91;295;0.84;0
18;8;0.390;0.3565;91.9;926.26;34.7156;22.303;90115;1381.9;24.75;0.1299;0.06174;0.07170;0.3366;826.38;1.977;28440.1;582.0;42001.0;417.79;350.90;420.36;403.61;388.26;403.38;335.63;12.338;52.64;64.97;292;0.83;0
18;9;0.390;0.4991;82.0;926.25;34.7156;22.302;90116;1382.0;24.75;0.1299;0.07170;0.08059;0.3691;925.76;2.329;28771.7;582.1;42012.0;417.90;350.99;420.24;403.49;388.14;403.26;335.49;12.199;52.65;64.85;289;0.82;0
18;10;0.390;0.6417;66.6;926.20;34.7156;22.302;90118;1382.6;24.73;0.1299;0.08059;0.08782;0.3967;1140.64;2.990;30583.9;582.9;42067.1;418.45;351.45;419.64;402.87;387.50;402.64;334.78;11.491;52.72;64.21;287;0.82;0
18;11;0.390;0.7843;38.2;926.01;34.7156;22.298;90129;1384.8;24.65;0.1299;0.08782;0.09199;0.4203;1984.94;5.351;40885.7;586.2;42290.8;420.67;353.32;417.21;400.37;384.93;400.13;331.93;8.642;53.00;61.64;285;0.81;0
19;0;0.420;-0.7843;38.2;920.70;34.7153;22.200;90427;1365.2;24.51;0.1303;0.00000;0.00416;0.0166;1954.32;3.020;32429.4;580.0;41470.2;412.51;346.47;417.61;401.09;385.94;400.86;333.97;10.684;51.97;62.65;313;0.90;0
19;1;0.420;-0.6417;66.6;920.82;34.7153;22.202;90420;1364.0;24.55;0.1303;0.00416;0.01137;0.0575;1123.04;1.819;28323.2;578.2;41354.6;411.36;345.50;418.90;402.42;387.31;402.19;335.49;12.199;51.83;64.02;311;0.90;0
19;2;0.420;-0.4991;82.0;920.82;34.7153;22.202;90420;1364.2;24.55;0.1303;0.01137;0.02026;0.1088;911.48;1.573;28698.4;578.4;41366.8;411.48;345.60;418.77;402.28;387.17;402.05;335.33;12.043;51.84;63.88;308;0.89;0
19;3;0.420;-0.3565;91.9;920.80;34.7153;22.201;90421;1364.4;24.54;0.1303;0.02026;0.03023;0.1614;813.63;1.504;29412.8;578.7;41389.3;411.71;345.79;418.52;402.03;386.92;401.80;335.05;11.756;51.87;63.63;305;0.88;0
19;4;0.420;-0.2139;76.9;920.82;34.7153;22.202;90420;1364.1;24.55;0.1303;0.03023;0.03857;0.2104;971.65;1.913;28383.5;578.2;41356.7;411.38;345.52;418.88;402.40;387.29;402.17;335.46;12.173;51.83;64.00;302;0.87;0
19;5;0.420;-0.0713;68.4;920.82;34.7153;22.202;90420;1364.1;24.55;0.1303;0.03857;0.04599;0.2484;1092.39;2.263;28450.8;578.3;41358.5;411.40;345.53;418.85;402.37;387.27;402.14;335.44;12.145;51.83;63.97;300;0.87;0
19;6;0.420;0.0713;68.4;920.81;34.7153;22.202;90420;1364.1;24.55;0.1303;0.04599;0.05341;0.2796;1092.39;2.369;28641.1;578.4;41364.4;411.46;345.58;418.79;402.30;387.19;402.07;335.36;12.066;51.84;63.90;297;0.86;0
19;7;0.420;0.2139;76.9;920.82;34.7153;22.202;90420;1364.1;24.55;0.1303;0.05341;0.06174;0.3080;971.65;2.208;28438.2;578.3;41358.1;411.40;345.53;418.86;402.38;387.27;402.15;335.44;12.150;51.83;63.98;295;0.85;0
19;8;0.420;0.3565;91.9;920.82;34.7153;22.202;90420;1364.0;24.55;0.1303;0.06174;0.07170;0.3363;813.63;1.946;28312.0;578.2;41354.3;411.36;345.50;418.90;402.42;387.32;402.19;335.49;12.203;51.82;64.03;292;0.84;0
19;9;0.420;0.4991;82.0;920.81;34.7153;22.202;90420;1364.1;24.55;0.1303;0.07170;0.08059;0.3687;911.48;2.293;28602.7;578.3;41363.2;411.45;345.57;418.80;402.32;387.21;402.09;335.37;12.082;51.84;63.92;289;0.84;0
19;10;0.420;0.6417;66.6;920.75;34.7153;22.201;90424;1364.6;24.53;0.1303;0.08059;0.08782;0.3964;1123.04;2.944;30347.8;579.1;41415.1;411.96;346.01;418.22;401.72;386.59;401.49;334.69;11.401;51.90;63.30;287;0.83;0
19;11;0.420;0.7843;38.2;920.53;34.7153;22.196;90436;1366.8;24.45;0.1303;0.08782;0.09199;0.4201;1954.32;5.269;40454.5;582.4;41631.0;414.11;347.81;415.82;399.25;384.06;399.02;331.89;8.598;52.17;60.77;285;0.82;0
20;0;0.452;-0.7843;38.2;915.10;34.7149;22.096;90743;1348.3;24.30;0.1308;0.00000;0.00416;0.0166;1924.03;2.973;32145.4;576.3;40823.6;406.08;341.06;416.21;399.96;385.06;399.73;333.90;10.610;51.16;61.77;313;0.92;0
20;1;0.452;-0.6417;66.6;915.24;34.7149;22.098;90735;1347.2;24.35;0.1308;0.00416;0.01137;0.0575;1105.63;1.791;28185.4;574.6;40714.2;404.99;340.15;417.47;401.25;386.38;401.02;335.36;12.068;51.02;63.09;311;0.91;0
20;2;0.452;-0.4991;82.0;915.23;34.7149;22.098;90736;1347.3;24.34;0.1308;0.01137;0.02026;0.1086;897.35;1.548;28607.5;574.8;40727.8;405.13;340.26;417.32;401.09;386.22;400.87;335.19;11.894;51.04;62.93;308;0.90;0
20;3;0.452;-0.3565;91.9;915.21;34.7149;22.098;90737;1347.6;24.33;0.1308;0.02026;0.03023;0.1612;801.02;1.481;29346.3;575.2;40750.4;405.35;340.45;417.07;400.84;385.96;400.61;334.89;11.601;51.07;62.67;305;0.89;0
20;4;0.452;-0.2139;76.9;915.24;34.7149;22.099;90735;1347.2;24.34;0.1308;0.03023;0.03857;0.2102;956.59;1.883;28271.1;574.7;40717.2;405.02;340.18;417.44;401.22;386.35;400.99;335.32;12.033;51.03;63.06;302;0.89;0
20;5;0.452;-0.0713;68.4;915.24;34.7149;22.098;90736;1347.2;24.34;0.1308;0.03857;0.04599;0.2481;1075.46;2.228;28295.6;574.7;40717.4;405.02;340.18;417.43;401.21;386.34;400.98;335.31;12.022;51.03;63.05;300;0.88;0
20;6;0.452;0.0713;68.4;915.23;34.7149;22.098;90736;1347.3;24.34;0.1308;0.04599;0.05341;0.2794;1075.46;2.333;28472.0;574.8;40722.8;405.08;340.22;417.36;401.14;386.27;400.92;335.24;11.949;51.03;62.98;297;0.87;0
20;7;0.452;0.2139;76.9;915.24;34.7149;22.098;90736;1347.2;24.34;0.1308;0.05341;0.06175;0.3077;956.59;2.174;28284.2;574.7;40717.1;405.02;340.17;417.43;401.21;386.34;400.99;335.32;12.027;51.03;63.05;295;0.87;0
20;8;0.452;0.3565;91.9;915.24;34.7149;22.099;90735;1347.2;24.35;0.1308;0.06175;0.07170;0.3359;801.02;1.916;28185.8;574.6;40714.3;404.99;340.15;417.47;401.25;386.38;401.02;335.36;12.068;51.02;63.09;292;0.86;0
20;9;0.452;0.4991;82.0;915.23;34.7149;22.098;90736;1347.3;24.34;0.1308;0.07170;0.08059;0.3684;897.35;2.257;28436.0;574.7;40721.6;405.07;340.21;417.38;401.15;386.29;400.93;335.25;11.964;51.03;63.00;289;0.85;0
20;10;0.452;0.6417;66.6;915.16;34.7149;22.097;90740;1347.8;24.32;0.1308;0.08059;0.08782;0.3962;1105.63;2.898;30114.4;575.5;40770.4;405.55;340.62;416.82;400.58;385.69;400.35;334.60;11.311;51.09;62.40;287;0.84;0
20;11;0.452;0.7843;38.2;914.91;34.7149;22.092;90754;1349.8;24.24;0.1308;0.08782;0.09199;0.4199;1924.03;5.187;40027.2;578.7;40978.7;407.62;342.36;414.45;398.14;383.20;397.92;331.84;8.553;51.35;59.91;285;0.83;0
21;0;0.485;-0.7843;38.2;909.36;34.7146;21.989;91071;1332.3;24.10;0.1312;0.00000;0.00416;0.0166;1894.00;2.927;31863.6;572.8;40181.9;399.70;335.70;414.83;398.84;384.18;398.62;333.83;10.536;50.36;60.89;313;0.93;0
21;1;0.485;-0.6417;66.6;909.52;34.7146;21.992;91062;1331.3;24.14;0.1312;0.00416;0.01137;0.0574;1088.38;1.763;28049.4;571.2;40079.5;398.68;334.85;416.04;400.08;385.46;399.86;335.23;11.938;50.23;62.16;311;0.93;0
21;2;0.485;-0.4991;82.0;909.50;34.7146;21.992;91063;1331.4;24.13;0.1312;0.01137;0.02026;0.1085;883.35;1.524;28518.2;571.4;40094.3;398.83;334.97;415.88;399.91;385.28;399.69;335.04;11.746;50.25;61.99;308;0.92;0
21;3;0.485;-0.3565;91.9;909.48;34.7146;21.992;91064;1331.6;24.12;0.1312;0.02026;0.03023;0.1610;788.52;1.458;29281.2;571.8;40116.6;399.05;335.16;415.62;399.65;385.01;399.43;334.74;11.446;50.27;61.72;305;0.91;0
21;4;0.485;-0.2139;76.9;909.52;34.7146;21.992;91062;1331.3;24.14;0.1312;0.03023;0.03857;0.2100;941.66;1.854;28160.5;571.2;40083.3;398.72;334.88;416.00;400.04;385.41;399.82;335.18;11.892;50.23;62.12;302;0.90;0
21;5;0.485;-0.0713;68.4;909.51;34.7146;21.992;91063;1331.3;24.14;0.1312;0.03857;0.04599;0.2479;1058.67;2.193;28142.4;571.2;40082.1;398.70;334.87;416.00;400.05;385.42;399.82;335.19;11.899;50.23;62.13;300;0.89;0
21;6;0.485;0.0713;68.4;909.50;34.7146;21.992;91063;1331.3;24.13;0.1312;0.04599;0.05341;0.2791;1058.67;2.296;28304.8;571.3;40086.8;398.75;334.91;415.95;399.99;385.36;399.77;335.12;11.832;50.24;62.07;297;0.89;0
21;7;0.485;0.2139;76.9;909.51;34.7146;21.992;91063;1331.3;24.14;0.1312;0.05341;0.06175;0.3074;941.66;2.140;28132.1;571.2;40081.8;398.70;334.87;416.01;400.05;385.42;399.83;335.19;11.903;50.23;62.13;295;0.88;0
21;8;0.485;0.3565;91.9;909.52;34.7146;21.992;91062;1331.3;24.14;0.1312;0.06175;0.07171;0.3355;788.52;1.886;28061.5;571.2;40080.0;398.68;334.85;416.03;400.08;385.45;399.86;335.22;11.933;50.23;62.16;292;0.87;0
21;9;0.485;0.4991;82.0;909.50;34.7146;21.992;91063;1331.3;24.13;0.1312;0.07171;0.08060;0.3681;883.35;2.222;28271.2;571.3;40085.8;398.74;334.90;415.96;400.00;385.37;399.78;335.14;11.846;50.24;62.08;289;0.86;0
21;10;0.485;0.6417;66.6;909.43;34.7146;21.991;91067;1331.8;24.12;0.1312;0.08060;0.08782;0.3959;1088.38;2.853;29883.1;572.0;40131.5;399.20;335.28;415.42;399.44;384.80;399.22;334.51;11.220;50.29;61.51;287;0.85;0
21;11;0.485;0.7843;38.2;909.15;34.7146;21.986;91083;1333.8;24.04;0.1312;0.08782;0.09199;0.4198;1894.00;5.106;39602.7;575.2;40332.2;401.19;336.96;413.08;397.04;382.34;396.82;331.80;8.508;50.54;59.05;285;0.85;0
22;0;0.520;-0.7843;38.2;903.46;34.7143;21.880;91411;1317.1;23.89;0.1317;0.00000;0.00416;0.0166;1864.12;2.880;31583.1;569.4;39543.7;393.35;330.37;413.46;397.73;383.31;397.51;333.75;10.460;49.56;60.02;313;0.95;0
22;1;0.520;-0.6417;66.6;903.64;34.7143;21.883;91401;1316.1;23.93;0.1317;0.00416;0.01137;0.0573;1071.20;1.735;27914.8;567.9;39447.8;392.39;329.57;414.62;398.92;384.53;398.70;335.10;11.806;49.44;61.24;311;0.94;0
22;2;0.520;-0.4991;82.0;903.63;34.7143;21.883;91402;1316.3;23.92;0.1317;0.01137;0.02026;0.1083;869.41;1.500;28430.2;568.1;39463.7;392.55;329.70;414.44;398.74;384.34;398.52;334.89;11.597;49.46;61.05;308;0.93;0
22;3;0.520;-0.3565;91.9;903.60;34.7143;21.883;91404;1316.5;23.91;0.1317;0.02026;0.03023;0.1607;776.08;1.435;29217.5;568.5;39486.6;392.78;329.89;414.18;398.47;384.07;398.25;334.58;11.291;49.48;60.78;305;0.92;0
22;4;0.520;-0.2139;76.9;903.64;34.7143;21.883;91401;1316.2;23.92;0.1317;0.03023;0.03857;0.2097;926.81;1.825;28051.2;567.9;39452.3;392.44;329.61;414.57;398.87;384.48;398.65;335.04;11.750;49.44;61.19;302;0.92;0
22;5;0.520;-0.0713;68.4;903.63;34.7143;21.883;91402;1316.1;23.93;0.1317;0.03857;0.04599;0.2477;1041.97;2.159;27990.4;567.9;39449.7;392.41;329.59;414.59;398.89;384.50;398.68;335.07;11.775;49.44;61.21;300;0.91;0
22;6;0.520;0.0713;68.4;903.62;34.7143;21.883;91402;1316.2;23.92;0.1317;0.04599;0.05341;0.2789;1041.97;2.260;28138.9;568.0;39453.9;392.46;329.62;414.54;398.84;384.45;398.62;335.00;11.714;49.44;61.16;297;0.90;0
22;7;0.520;0.2139;76.9;903.63;34.7143;21.883;91402;1316.1;23.93;0.1317;0.05341;0.06175;0.3071;926.81;2.106;27981.3;567.9;39449.5;392.41;329.58;414.60;398.90;384.51;398.68;335.07;11.779;49.44;61.22;295;0.89;0
22;8;0.520;0.3565;91.9;903.64;34.7143;21.883;91401;1316.1;23.93;0.1317;0.06175;0.07171;0.3352;776.08;1.857;27938.4;567.9;39448.7;392.40;329.58;414.61;398.91;384.52;398.70;335.09;11.797;49.44;61.23;292;0.88;0
22;9;0.520;0.4991;82.0;903.62;34.7143;21.883;91402;1316.2;23.92;0.1317;0.07171;0.08060;0.3677;869.41;2.187;28107.7;568.0;39453.0;392.45;329.61;414.55;398.85;384.46;398.63;335.02;11.727;49.44;61.17;289;0.88;0
22;10;0.520;0.6417;66.6;903.54;34.7143;21.882;91407;1316.6;23.91;0.1317;0.08060;0.08782;0.3956;1071.20;2.808;29653.1;568.7;39495.6;392.87;329.97;414.03;398.32;383.91;398.10;334.42;11.128;49.50;60.62;287;0.87;0
22;11;0.520;0.7843;38.2;903.23;34.7143;21.876;91425;1318.5;23.83;0.1317;0.08782;0.09199;0.4196;1864.12;5.025;39179.5;571.8;39688.8;394.79;331.58;411.73;395.95;381.49;395.73;331.75;8.463;49.74;58.20;285;0.86;0
23;0;0.556;-0.7843;38.2;897.42;34.7139;21.768;91763;1302.5;23.67;0.1322;0.00000;0.00416;0.0166;1834.33;2.834;31303.2;566.2;38907.6;387.02;325.06;412.09;396.61;382.43;396.40;333.67;10.384;48.76;59.14;313;0.96;0
23;1;0.556;-0.6417;66.6;897.61;34.7139;21.772;91752;1301.7;23.71;0.1322;0.00416;0.01137;0.0572;1054.09;1.707;27781.2;564.7;38818.0;386.13;324.31;413.21;397.76;383.61;397.55;334.96;11.674;48.65;60.32;311;0.96;0
23;2;0.556;-0.4991;82.0;897.59;34.7139;21.771;91753;1301.8;23.70;0.1322;0.01137;0.02026;0.1082;855.52;1.476;28343.5;565.0;38835.5;386.30;324.45;413.01;397.56;383.41;397.35;334.74;11.447;48.67;60.12;308;0.95;0
23;3;0.556;-0.3565;91.9;897.56;34.7139;21.771;91755;1302.1;23.70;0.1322;0.02026;0.03023;0.1605;763.68;1.412;29154.9;565.3;38858.0;386.53;324.64;412.74;397.29;383.12;397.07;334.43;11.135;48.70;59.83;305;0.94;0
23;4;0.556;-0.2139;76.9;897.61;34.7139;21.772;91752;1301.7;23.71;0.1322;0.03023;0.03857;0.2095;912.00;1.795;27943.0;564.8;38823.2;386.18;324.35;413.15;397.71;383.55;397.49;334.90;11.608;48.65;60.26;302;0.93;0
23;5;0.556;-0.0713;68.4;897.60;34.7139;21.772;91753;1301.7;23.71;0.1322;0.03857;0.04599;0.2474;1025.32;2.124;27839.4;564.7;38819.3;386.14;324.32;413.19;397.74;383.59;397.53;334.94;11.650;48.65;60.30;300;0.92;0
23;6;0.556;0.0713;68.4;897.59;34.7139;21.771;91753;1301.7;23.71;0.1322;0.04599;0.05341;0.2786;1025.32;2.224;27974.0;564.8;38822.9;386.18;324.35;413.14;397.69;383.54;397.48;334.89;11.595;48.65;60.25;297;0.92;0
23;7;0.556;0.2139;76.9;897.60;34.7139;21.772;91753;1301.7;23.71;0.1322;0.05341;0.06175;0.3068;912.00;2.072;27831.5;564.7;38819.1;386.14;324.32;413.19;397.75;383.59;397.53;334.94;11.653;48.65;60.30;295;0.91;0
23;8;0.556;0.3565;91.9;897.61;34.7139;21.772;91752;1301.7;23.71;0.1322;0.06175;0.07171;0.3348;763.68;1.827;27816.5;564.7;38819.3;386.14;324.32;413.20;397.75;383.60;397.54;334.95;11.659;48.65;60.31;292;0.90;0
23;9;0.556;0.4991;82.0;897.59;34.7139;21.771;91753;1301.7;23.71;0.1322;0.07171;0.08060;0.3673;855.52;2.152;27945.2;564.8;38822.1;386.17;324.34;413.15;397.70;383.55;397.49;334.90;11.606;48.65;60.26;289;0.89;0
23;10;0.556;0.6417;66.6;897.51;34.7139;21.770;91758;1302.1;23.69;0.1322;0.08060;0.08782;0.3953;1054.09;2.763;29423.8;565.4;38861.7;386.56;324.67;412.65;397.19;383.03;396.98;334.33;11.034;48.70;59.74;287;0.88;0
23;11;0.556;0.7843;38.2;897.17;34.7139;21.763;91778;1303.9;23.61;0.1322;0.08782;0.09199;0.4194;1834.33;4.945;38756.7;568.5;39047.4;388.41;326.23;410.38;394.86;380.64;394.65;331.71;8.417;48.93;57.35;285;0.87;0
24;0;0.593;-0.7843;38.2;891.22;34.7136;21.653;92128;1288.6;23.45;0.1327;0.00000;0.00416;0.0165;1804.58;2.788;31023.7;563.0;38272.6;380.70;319.75;410.71;395.50;381.56;395.29;333.60;10.307;47.96;58.27;313;0.98;0
24;1;0.593;-0.6417;66.6;891.42;34.7136;21.657;92116;1287.8;23.49;0.1327;0.00416;0.01137;0.0572;1036.99;1.680;27648.5;561.6;38189.4;379.88;319.06;411.79;396.61;382.69;396.39;334.83;11.540;47.86;59.40;311;0.97;0
24;2;0.593;-0.4991;82.0;891.40;34.7136;21.657;92117;1288.0;23.49;0.1327;0.01137;0.02026;0.1080;841.65;1.452;28257.6;561.9;38207.4;380.06;319.21;411.58;396.39;382.47;396.18;334.59;11.296;47.88;59.18;308;0.96;0
24;3;0.593;-0.3565;91.9;891.37;34.7136;21.656;92119;1288.2;23.48;0.1327;0.02026;0.03023;0.1603;751.30;1.389;29093.4;562.2;38230.3;380.28;319.40;411.31;396.11;382.18;395.90;334.27;10.978;47.91;58.89;305;0.95;0
24;4;0.593;-0.2139;76.9;891.42;34.7136;21.657;92116;1287.9;23.49;0.1327;0.03023;0.03857;0.2092;897.21;1.766;27835.7;561.7;38195.3;379.94;319.11;411.73;396.54;382.62;396.33;334.75;11.464;47.87;59.33;302;0.95;0
24;5;0.593;-0.0713;68.4;891.41;34.7136;21.657;92117;1287.8;23.49;0.1327;0.03857;0.04599;0.2472;1008.69;2.090;27689.3;561.6;38190.1;379.88;319.06;411.77;396.59;382.67;396.38;334.81;11.523;47.86;59.38;300;0.94;0
24;6;0.593;0.0713;68.4;891.40;34.7136;21.657;92117;1287.8;23.49;0.1327;0.04599;0.05341;0.2783;1008.69;2.188;27809.8;561.7;38193.1;379.91;319.09;411.73;396.55;382.63;396.34;334.76;11.474;47.86;59.34;297;0.93;0
24;7;0.593;0.2139;76.9;891.42;34.7136;21.657;92117;1287.8;23.49;0.1327;0.05341;0.06175;0.3064;897.21;2.039;27682.6;561.6;38189.9;379.88;319.06;411.78;396.59;382.68;396.38;334.82;11.526;47.86;59.38;295;0.92;0
24;8;0.593;0.3565;91.9;891.42;34.7136;21.657;92116;1287.8;23.49;0.1327;0.06175;0.07171;0.3344;751.30;1.797;27695.5;561.6;38191.0;379.89;319.07;411.77;396.59;382.67;396.38;334.81;11.521;47.86;59.38;292;0.91;0
24;9;0.593;0.4991;82.0;891.41;34.7136;21.657;92117;1287.8;23.49;0.1327;0.07171;0.08060;0.3670;841.65;2.117;27783.5;561.7;38192.4;379.91;319.08;411.74;396.56;382.64;396.34;334.78;11.485;47.86;59.35;289;0.91;0
24;10;0.593;0.6417;66.6;891.31;34.7136;21.655;92123;1288.2;23.47;0.1327;0.08060;0.08782;0.3949;1036.99;2.718;29195.1;562.3;38229.1;380.27;319.39;411.26;396.07;382.14;395.86;334.23;10.940;47.91;58.85;287;0.90;0
24;11;0.593;0.7843;38.2;890.94;34.7136;21.648;92145;1289.9;23.39;0.1327;0.08782;0.09199;0.4192;1804.58;4.865;38333.7;565.3;38406.9;382.04;320.87;409.03;393.77;379.79;393.56;331.66;8.371;48.13;56.50;285;0.89;0
25;0;0.632;-0.7843;38.2;884.86;34.7132;21.535;92506;1275.2;23.23;0.1332;0.00000;0.00415;0.0165;1774.80;2.742;30743.7;559.9;37636.9;374.38;314.44;409.34;394.39;380.68;394.18;333.52;10.228;47.17;57.39;313;0.99;0
25;1;0.632;-0.6417;66.6;885.08;34.7132;21.539;92493;1274.5;23.27;0.1332;0.00415;0.01137;0.0571;1019.88;1.652;27516.4;558.6;37559.8;373.61;313.80;410.37;395.45;381.76;395.24;334.69;11.404;47.07;58.47;311;0.99;0
25;2;0.632;-0.4991;82.0;885.06;34.7132;21.539;92495;1274.7;23.26;0.1332;0.01137;0.02026;0.1079;827.76;1.428;28172.6;558.9;37578.8;373.80;313.96;410.15;395.22;381.53;395.01;334.43;11.144;47.09;58.24;308;0.98;0
25;3;0.632;-0.3565;91.9;885.02;34.7132;21.538;92497;1274.9;23.25;0.1332;0.02026;0.03023;0.1600;738.90;1.366;29032.8;559.3;37601.7;374.03;314.15;409.87;394.93;381.23;394.72;334.11;10.820;47.12;57.94;305;0.97;0
25;4;0.632;-0.2139;76.9;885.08;34.7132;21.539;92494;1274.5;23.27;0.1332;0.03023;0.03858;0.2090;882.40;1.737;27729.2;558.7;37566.4;373.68;313.85;410.30;395.37;381.69;395.16;334.61;11.318;47.08;58.40;302;0.96;0
25;5;0.632;-0.0713;68.4;885.07;34.7132;21.539;92494;1274.5;23.27;0.1332;0.03858;0.04599;0.2469;992.05;2.055;27539.6;558.6;37559.9;373.62;313.80;410.36;395.44;381.75;395.23;334.69;11.394;47.07;58.46;300;0.96;0
25;6;0.632;0.0713;68.4;885.06;34.7132;21.539;92495;1274.5;23.27;0.1332;0.04599;0.05341;0.2780;992.05;2.152;27646.0;558.6;37562.4;373.64;313.82;410.33;395.40;381.71;395.19;334.64;11.351;47.07;58.42;297;0.95;0
25;7;0.632;0.2139;76.9;885.07;34.7132;21.539;92494;1274.5;23.27;0.1332;0.05341;0.06175;0.3061;882.40;2.005;27534.1;558.6;37559.8;373.61;313.80;410.37;395.44;381.76;395.23;334.69;11.397;47.07;58.47;295;0.94;0
25;8;0.632;0.3565;91.9;885.08;34.7132;21.539;92493;1274.5;23.27;0.1332;0.06175;0.07171;0.3340;738.90;1.768;27575.1;558.6;37561.7;373.63;313.81;410.35;395.43;381.74;395.22;334.67;11.380;47.07;58.45;292;0.93;0
25;9;0.632;0.4991;82.0;885.06;34.7132;21.539;92494;1274.5;23.27;0.1332;0.07171;0.08060;0.3666;827.76;2.082;27622.2;558.6;37561.8;373.63;313.81;410.34;395.41;381.72;395.20;334.65;11.361;47.07;58.43;289;0.92;0
25;10;0.632;0.6417;66.6;884.96;34.7132;21.537;92500;1274.8;23.25;0.1332;0.08060;0.08782;0.3946;1019.88;2.673;28966.3;559.2;37595.6;373.97;314.10;409.88;394.94;381.25;394.73;334.13;10.843;47.11;57.96;287;0.91;0
25;11;0.632;0.7843;38.2;884.56;34.7132;21.530;92524;1276.5;23.17;0.1332;0.08782;0.09199;0.4190;1774.80;4.785;37909.3;562.2;37766.0;375.67;315.52;407.68;392.69;378.94;392.48;331.61;8.323;47.33;55.65;285;0.90;0
26;0;0.672;-0.7843;38.2;878.34;34.7128;21.415;92898;1262.3;23.00;0.1337;0.00000;0.00415;0.0165;1744.96;2.696;30462.9;556.9;36999.8;368.04;309.12;407.97;393.27;379.81;393.07;333.44;10.147;46.37;56.52;313;1.01;0
26;1;0.672;-0.6417;66.6;878.57;34.7128;21.419;92885;1261.6;23.04;0.1337;0.00415;0.01137;0.0570;1002.73;1.624;27384.7;555.6;36928.8;367.34;308.53;408.95;394.28;380.84;394.08;334.56;11.266;46.28;57.55;311;1.01;0
26;2;0.672;-0.4991;82.0;878.55;34.7128;21.418;92886;1261.8;23.03;0.1337;0.01137;0.02026;0.1077;813.84;1.404;28088.5;555.9;36949.2;367.54;308.70;408.71;394.04;380.59;393.83;334.28;10.990;46.30;57.29;308;1.00;0
26;3;0.672;-0.3565;91.9;878.50;34.7128;21.418;92889;1262.0;23.02;0.1337;0.02026;0.03024;0.1598;726.47;1.343;28973.1;556.3;36971.7;367.76;308.88;408.43;393.74;380.28;393.54;333.95;10.661;46.33;56.99;305;0.99;0
26;4;0.672;-0.2139;76.9;878.57;34.7128;21.419;92885;1261.7;23.04;0.1337;0.03024;0.03858;0.2087;867.56;1.708;27623.3;555.7;36936.0;367.41;308.59;408.87;394.20;380.75;394.00;334.46;11.171;46.29;57.46;302;0.98;0
26;5;0.672;-0.0713;68.4;878.57;34.7128;21.419;92885;1261.6;23.04;0.1337;0.03858;0.04599;0.2467;975.37;2.021;27390.2;555.6;36928.4;367.33;308.52;408.95;394.28;380.83;394.08;334.55;11.264;46.28;57.54;300;0.97;0
26;6;0.672;0.0713;68.4;878.55;34.7128;21.418;92886;1261.6;23.04;0.1337;0.04599;0.05341;0.2778;975.37;2.116;27482.4;555.7;36930.4;367.35;308.54;408.92;394.25;380.80;394.04;334.52;11.227;46.28;57.51;297;0.96;0
26;7;0.672;0.2139;76.9;878.57;34.7128;21.419;92885;1261.6;23.04;0.1337;0.05341;0.06175;0.3058;867.56;1.971;27385.9;555.6;36928.3;367.33;308.52;408.95;394.28;380.83;394.08;334.56;11.266;46.28;57.54;295;0.96;0
26;8;0.672;0.3565;91.9;878.57;34.7128;21.419;92885;1261.6;23.04;0.1337;0.06175;0.07171;0.3336;726.47;1.738;27455.2;555.7;36931.1;367.36;308.54;408.93;394.26;380.81;394.05;334.53;11.238;46.28;57.52;292;0.95;0
26;9;0.672;0.4991;82.0;878.56;34.7128;21.418;92886;1261.6;23.04;0.1337;0.07171;0.08060;0.3662;813.84;2.047;27461.0;555.7;36929.9;367.35;308.53;408.93;394.25;380.81;394.05;334.53;11.235;46.28;57.52;289;0.94;0
26;10;0.672;0.6417;66.6;878.45;34.7128;21.417;92892;1261.9;23.02;0.1337;0.08060;0.08782;0.3943;1002.73;2.628;28737.1;556.2;36960.7;367.66;308.79;408.49;393.81;380.36;393.61;334.04;10.745;46.32;57.06;287;0.93;0
