componente;i;j;classe;z_m;y_m;T_met_int_C;T_met_est_C;T_met_media_C;dT_spessore_K;p_int_bar;p_est_bar;sZ_membr_MPa;sZ_termico_MPa;sZ_pressione_MPa;punto;r_mm;sigma_R_MPa;sigma_theta_MPa;sigma_Z_MPa;sigma_VM_MPa;sigma_Tresca_MPa;Sy_MPa;utilizzo_pc
TUBI;0;0;0;0.007;-0.7843;343.60;337.45;340.35;6.16;34.740;117.840;6.812;-35.966;42.779;interna;16.00;-3.474;-71.368;-4.662;67.308;67.894;210.9;31.91
TUBI;0;0;0;0.007;-0.7843;343.60;337.45;340.35;6.16;34.740;117.840;6.812;-35.966;42.779;media;17.52;-8.640;-54.885;6.655;55.497;61.541;210.9;26.31
TUBI;0;0;0;0.007;-0.7843;343.60;337.45;340.35;6.16;34.740;117.840;6.812;-35.966;42.779;esterna;19.05;-11.784;-41.369;17.028;50.574;58.396;210.9;23.98
TUBI;1;0;0;0.022;-0.7843;343.58;337.43;340.33;6.15;34.725;117.840;6.812;-35.966;42.779;interna;16.00;-3.472;-71.365;-4.650;67.312;67.893;210.9;31.91
TUBI;1;0;0;0.022;-0.7843;343.58;337.43;340.33;6.15;34.725;117.840;6.812;-35.966;42.779;media;17.52;-8.639;-54.893;6.656;55.505;61.549;210.9;26.31
TUBI;1;0;0;0.022;-0.7843;343.58;337.43;340.33;6.15;34.725;117.840;6.812;-35.966;42.779;esterna;19.05;-11.784;-41.386;17.018;50.581;58.404;210.9;23.98
TUBI;2;0;0;0.037;-0.7843;343.56;337.42;340.31;6.14;34.725;117.840;6.812;-35.966;42.779;interna;16.00;-3.472;-71.354;-4.639;67.306;67.882;210.9;31.91
TUBI;2;0;0;0.037;-0.7843;343.56;337.42;340.31;6.14;34.725;117.840;6.812;-35.966;42.779;media;17.52;-8.638;-54.894;6.656;55.506;61.550;210.9;26.31
TUBI;2;0;0;0.037;-0.7843;343.56;337.42;340.31;6.14;34.725;117.840;6.812;-35.966;42.779;esterna;19.05;-11.784;-41.397;17.007;50.581;58.404;210.9;23.98
TUBI;3;0;0;0.053;-0.7843;343.54;337.40;340.29;6.14;34.724;117.840;6.812;-35.966;42.779;interna;16.00;-3.472;-71.342;-4.626;67.300;67.870;210.9;31.90
TUBI;3;0;0;0.053;-0.7843;343.54;337.40;340.29;6.14;34.724;117.840;6.812;-35.966;42.779;media;17.52;-8.638;-54.895;6.656;55.507;61.550;210.9;26.31
TUBI;3;0;0;0.053;-0.7843;343.54;337.40;340.29;6.14;34.724;117.840;6.812;-35.966;42.779;esterna;19.05;-11.784;-41.408;16.996;50.581;58.404;210.9;23.98
TUBI;4;0;0;0.070;-0.7843;343.39;337.30;340.17;6.09;34.724;117.840;6.812;-35.966;42.779;interna;16.00;-3.472;-71.254;-4.538;67.255;67.782;211.0;31.88
TUBI;4;0;0;0.070;-0.7843;343.39;337.30;340.17;6.09;34.724;117.840;6.812;-35.966;42.779;media;17.52;-8.634;-54.897;6.657;55.511;61.554;211.0;26.31
TUBI;4;0;0;0.070;-0.7843;343.39;337.30;340.17;6.09;34.724;117.840;6.812;-35.966;42.779;esterna;19.05;-11.784;-41.487;16.918;50.582;58.404;211.0;23.98
TUBI;5;0;0;0.087;-0.7843;343.26;337.21;340.06;6.05;34.723;117.840;6.812;-35.966;42.779;interna;16.00;-3.472;-71.180;-4.464;67.217;67.708;211.0;31.86
TUBI;5;0;0;0.087;-0.7843;343.26;337.21;340.06;6.05;34.723;117.840;6.812;-35.966;42.779;media;17.52;-8.631;-54.899;6.658;55.515;61.558;211.0;26.31
TUBI;5;0;0;0.087;-0.7843;343.26;337.21;340.06;6.05;34.723;117.840;6.812;-35.966;42.779;esterna;19.05;-11.784;-41.553;16.851;50.583;58.404;211.0;23.97
TUBI;6;0;0;0.105;-0.7843;343.15;337.14;339.97;6.02;34.723;117.840;6.812;-35.966;42.779;interna;16.00;-3.472;-71.119;-4.403;67.186;67.647;211.0;31.84
TUBI;6;0;0;0.105;-0.7843;343.15;337.14;339.97;6.02;34.723;117.840;6.812;-35.966;42.779;media;17.52;-8.628;-54.901;6.659;55.518;61.560;211.0;26.31
TUBI;6;0;0;0.105;-0.7843;343.15;337.14;339.97;6.02;34.723;117.840;6.812;-35.966;42.779;esterna;19.05;-11.784;-41.608;16.797;50.584;58.405;211.0;23.97
TUBI;7;0;0;0.124;-0.7843;343.06;337.07;339.89;5.99;34.722;117.840;6.812;-35.966;42.779;interna;16.00;-3.472;-71.066;-4.349;67.159;67.593;211.0;31.83
TUBI;7;0;0;0.124;-0.7843;343.06;337.07;339.89;5.99;34.722;117.840;6.812;-35.966;42.779;media;17.52;-8.626;-54.903;6.660;55.521;61.563;211.0;26.31
TUBI;7;0;0;0.124;-0.7843;343.06;337.07;339.89;5.99;34.722;117.840;6.812;-35.966;42.779;esterna;19.05;-11.784;-41.656;16.749;50.585;58.405;211.0;23.97
TUBI;8;0;0;0.144;-0.7843;342.98;337.01;339.82;5.96;34.722;117.840;6.812;-35.966;42.779;interna;16.00;-3.472;-71.018;-4.301;67.135;67.546;211.0;31.81
TUBI;8;0;0;0.144;-0.7843;342.98;337.01;339.82;5.96;34.722;117.840;6.812;-35.966;42.779;media;17.52;-8.624;-54.905;6.660;55.524;61.565;211.0;26.31
TUBI;8;0;0;0.144;-0.7843;342.98;337.01;339.82;5.96;34.722;117.840;6.812;-35.966;42.779;esterna;19.05;-11.784;-41.699;16.707;50.585;58.405;211.0;23.97
TUBI;9;0;0;0.164;-0.7843;342.90;336.96;339.76;5.94;34.721;117.840;6.812;-35.966;42.779;interna;16.00;-3.472;-70.975;-4.257;67.113;67.502;211.0;31.80
TUBI;9;0;0;0.164;-0.7843;342.90;336.96;339.76;5.94;34.721;117.840;6.812;-35.966;42.779;media;17.52;-8.622;-54.906;6.661;55.526;61.567;211.0;26.31
TUBI;9;0;0;0.164;-0.7843;342.90;336.96;339.76;5.94;34.721;117.840;6.812;-35.966;42.779;esterna;19.05;-11.784;-41.738;16.668;50.586;58.405;211.0;23.97
TUBI;10;0;0;0.185;-0.7843;342.83;336.91;339.70;5.92;34.721;117.840;6.812;-35.966;42.779;interna;16.00;-3.472;-70.934;-4.217;67.093;67.462;211.1;31.79
TUBI;10;0;0;0.185;-0.7843;342.83;336.91;339.70;5.92;34.721;117.840;6.812;-35.966;42.779;media;17.52;-8.621;-54.907;6.661;55.528;61.569;211.1;26.31
TUBI;10;0;0;0.185;-0.7843;342.83;336.91;339.70;5.92;34.721;117.840;6.812;-35.966;42.779;esterna;19.05;-11.784;-41.774;16.631;50.587;58.406;211.1;23.97
TUBI;11;0;0;0.207;-0.7843;429.90;393.73;410.76;36.17;34.717;117.840;6.812;-35.966;42.779;interna;16.00;-3.472;-127.320;-60.600;107.363;123.848;196.8;54.54
TUBI;11;0;0;0.207;-0.7843;429.90;393.73;410.76;36.17;34.717;117.840;6.812;-35.966;42.779;media;17.52;-10.929;-53.372;5.890;52.898;59.262;196.8;26.87
TUBI;11;0;0;0.207;-0.7843;429.90;393.73;410.76;36.17;34.717;117.840;6.812;-35.966;42.779;esterna;19.05;-11.784;8.422;66.829;70.709;78.613;196.8;35.92
TUBI;12;0;0;0.230;-0.7843;428.16;392.63;409.36;35.53;34.717;117.840;6.812;-35.966;42.779;interna;16.00;-3.472;-126.121;-59.401;106.354;122.649;197.1;53.95
TUBI;12;0;0;0.230;-0.7843;428.16;392.63;409.36;35.53;34.717;117.840;6.812;-35.966;42.779;media;17.52;-10.880;-53.405;5.906;52.953;59.312;197.1;26.86
TUBI;12;0;0;0.230;-0.7843;428.16;392.63;409.36;35.53;34.717;117.840;6.812;-35.966;42.779;esterna;19.05;-11.784;7.354;65.761;69.968;77.545;197.1;35.49
TUBI;13;0;0;0.254;-0.7843;426.50;391.58;408.03;34.92;34.717;117.840;6.812;-35.966;42.779;interna;16.00;-3.472;-124.982;-58.262;105.400;121.510;197.4;53.40
TUBI;13;0;0;0.254;-0.7843;426.50;391.58;408.03;34.92;34.717;117.840;6.812;-35.966;42.779;media;17.52;-10.833;-53.436;5.922;53.006;59.358;197.4;26.85
TUBI;13;0;0;0.254;-0.7843;426.50;391.58;408.03;34.92;34.717;117.840;6.812;-35.966;42.779;esterna;19.05;-11.784;6.340;64.747;69.271;76.531;197.4;35.09
TUBI;14;0;0;0.279;-0.7843;424.91;390.58;406.75;34.33;34.717;117.840;6.812;-35.966;42.779;interna;16.00;-3.472;-123.890;-57.170;104.489;120.419;197.7;52.87
TUBI;14;0;0;0.279;-0.7843;424.91;390.58;406.75;34.33;34.717;117.840;6.812;-35.966;42.779;media;17.52;-10.788;-53.466;5.937;53.056;59.403;197.7;26.84
TUBI;14;0;0;0.279;-0.7843;424.91;390.58;406.75;34.33;34.717;117.840;6.812;-35.966;42.779;esterna;19.05;-11.784;5.368;63.775;68.611;75.559;197.7;34.71
TUBI;15;0;0;0.305;-0.7843;423.38;389.61;405.51;33.77;34.716;117.840;6.812;-35.966;42.779;interna;16.00;-3.472;-122.848;-56.128;103.622;119.377;197.9;52.36
TUBI;15;0;0;0.305;-0.7843;423.38;389.61;405.51;33.77;34.716;117.840;6.812;-35.966;42.779;media;17.52;-10.746;-53.495;5.951;53.104;59.446;197.9;26.83
TUBI;15;0;0;0.305;-0.7843;423.38;389.61;405.51;33.77;34.716;117.840;6.812;-35.966;42.779;esterna;19.05;-11.784;4.440;62.847;67.987;74.631;197.9;34.35
TUBI;16;0;0;0.332;-0.7843;421.89;388.67;404.32;33.23;34.716;117.840;6.812;-35.966;42.779;interna;16.00;-3.472;-121.836;-55.116;102.784;118.365;198.1;51.88
TUBI;16;0;0;0.332;-0.7843;421.89;388.67;404.32;33.23;34.716;117.840;6.812;-35.966;42.779;media;17.52;-10.704;-53.522;5.965;53.151;59.488;198.1;26.83
TUBI;16;0;0;0.332;-0.7843;421.89;388.67;404.32;33.23;34.716;117.840;6.812;-35.966;42.779;esterna;19.05;-11.784;3.539;61.947;67.389;73.731;198.1;34.01
TUBI;17;0;0;0.360;-0.7843;420.44;387.74;403.14;32.69;34.716;117.840;6.812;-35.966;42.779;interna;16.00;-3.472;-120.838;-54.117;101.959;117.366;198.4;51.40
TUBI;17;0;0;0.360;-0.7843;420.44;387.74;403.14;32.69;34.716;117.840;6.812;-35.966;42.779;media;17.52;-10.663;-53.550;5.979;53.197;59.529;198.4;26.82
TUBI;17;0;0;0.360;-0.7843;420.44;387.74;403.14;32.69;34.716;117.840;6.812;-35.966;42.779;esterna;19.05;-11.784;2.649;61.057;66.804;72.841;198.4;33.68
TUBI;18;0;0;0.390;-0.7843;419.01;386.84;401.99;32.17;34.716;117.840;6.812;-35.966;42.779;interna;16.00;-3.472;-119.869;-53.149;101.163;116.398;198.6;50.94
TUBI;18;0;0;0.390;-0.7843;419.01;386.84;401.99;32.17;34.716;117.840;6.812;-35.966;42.779;media;17.52;-10.624;-53.576;5.992;53.242;59.568;198.6;26.81
TUBI;18;0;0;0.390;-0.7843;419.01;386.84;401.99;32.17;34.716;117.840;6.812;-35.966;42.779;esterna;19.05;-11.784;1.787;60.195;66.244;71.979;198.6;33.36
TUBI;19;0;0;0.420;-0.7843;417.61;385.94;400.86;31.66;34.715;117.840;6.812;-35.966;42.779;interna;16.00;-3.472;-118.915;-52.195;100.381;115.444;198.8;50.49
TUBI;19;0;0;0.420;-0.7843;417.61;385.94;400.86;31.66;34.715;117.840;6.812;-35.966;42.779;media;17.52;-10.585;-53.603;6.005;53.286;59.608;198.8;26.80
TUBI;19;0;0;0.420;-0.7843;417.61;385.94;400.86;31.66;34.715;117.840;6.812;-35.966;42.779;esterna;19.05;-11.784;0.937;59.345;65.699;71.129;198.8;33.04
TUBI;20;0;0;0.452;-0.7843;416.21;385.06;399.73;31.15;34.715;117.840;6.812;-35.966;42.779;interna;16.00;-3.471;-117.962;-51.241;99.604;114.491;199.1;50.04
TUBI;20;0;0;0.452;-0.7843;416.21;385.06;399.73;31.15;34.715;117.840;6.812;-35.966;42.779;media;17.52;-10.546;-53.629;6.018;53.330;59.647;199.1;26.79
TUBI;20;0;0;0.452;-0.7843;416.21;385.06;399.73;31.15;34.715;117.840;6.812;-35.966;42.779;esterna;19.05;-11.784;0.088;58.497;65.161;70.281;199.1;32.74
TUBI;21;0;0;0.485;-0.7843;414.83;384.18;398.62;30.65;34.715;117.840;6.812;-35.966;42.779;interna;16.00;-3.471;-117.028;-50.307;98.844;113.557;199.3;49.60
TUBI;21;0;0;0.485;-0.7843;414.83;384.18;398.62;30.65;34.715;117.840;6.812;-35.966;42.779;media;17.52;-10.507;-53.654;6.031;53.374;59.685;199.3;26.78
TUBI;21;0;0;0.485;-0.7843;414.83;384.18;398.62;30.65;34.715;117.840;6.812;-35.966;42.779;esterna;19.05;-11.784;-0.744;57.665;64.640;69.449;199.3;32.44
TUBI;22;0;0;0.520;-0.7843;413.46;383.31;397.51;30.15;34.714;117.840;6.812;-35.966;42.779;interna;16.00;-3.471;-116.100;-49.378;98.093;112.628;199.5;49.17
TUBI;22;0;0;0.520;-0.7843;413.46;383.31;397.51;30.15;34.714;117.840;6.812;-35.966;42.779;media;17.52;-10.469;-53.680;6.044;53.417;59.723;199.5;26.78
TUBI;22;0;0;0.520;-0.7843;413.46;383.31;397.51;30.15;34.714;117.840;6.812;-35.966;42.779;esterna;19.05;-11.784;-1.571;56.838;64.128;68.622;199.5;32.14
TUBI;23;0;0;0.556;-0.7843;412.09;382.43;396.40;29.65;34.714;117.840;6.812;-35.966;42.779;interna;16.00;-3.471;-115.175;-48.453;97.347;111.703;199.7;48.74
TUBI;23;0;0;0.556;-0.7843;412.09;382.43;396.40;29.65;34.714;117.840;6.812;-35.966;42.779;media;17.52;-10.431;-53.705;6.056;53.460;59.761;199.7;26.77
TUBI;23;0;0;0.556;-0.7843;412.09;382.43;396.40;29.65;34.714;117.840;6.812;-35.966;42.779;esterna;19.05;-11.784;-2.394;56.015;63.626;67.799;199.7;31.86
TUBI;24;0;0;0.593;-0.7843;410.71;381.56;395.29;29.15;34.714;117.840;6.812;-35.966;42.779;interna;16.00;-3.471;-114.242;-47.520;96.598;110.771;199.9;48.31
TUBI;24;0;0;0.593;-0.7843;410.71;381.56;395.29;29.15;34.714;117.840;6.812;-35.966;42.779;media;17.52;-10.393;-53.731;6.069;53.503;59.800;199.9;26.76
TUBI;24;0;0;0.593;-0.7843;410.71;381.56;395.29;29.15;34.714;117.840;6.812;-35.966;42.779;esterna;19.05;-11.784;-3.225;55.184;63.125;66.968;199.9;31.57
TUBI;25;0;0;0.632;-0.7843;409.34;380.68;394.18;28.66;34.713;117.840;6.812;-35.966;42.779;interna;16.00;-3.471;-113.319;-46.597;95.860;109.848;200.2;47.89
TUBI;25;0;0;0.632;-0.7843;409.34;380.68;394.18;28.66;34.713;117.840;6.812;-35.966;42.779;media;17.52;-10.355;-53.756;6.082;53.546;59.838;200.2;26.75
TUBI;25;0;0;0.632;-0.7843;409.34;380.68;394.18;28.66;34.713;117.840;6.812;-35.966;42.779;esterna;19.05;-11.784;-4.047;54.362;62.637;66.146;200.2;31.29
TUBI;26;0;0;0.672;-0.7843;407.97;379.81;393.07;28.16;34.713;117.840;6.812;-35.966;42.779;interna;16.00;-3.471;-112.396;-45.673;95.125;108.924;200.4;47.47
TUBI;26;0;0;0.672;-0.7843;407.97;379.81;393.07;28.16;34.713;117.840;6.812;-35.966;42.779;media;17.52;-10.318;-53.782;6.094;53.589;59.876;200.4;26.74
TUBI;26;0;0;0.672;-0.7843;407.97;379.81;393.07;28.16;34.713;117.840;6.812;-35.966;42.779;esterna;19.05;-11.784;-4.870;53.540;62.156;65.324;200.4;31.02
TUBI;27;0;0;0.715;-0.7843;406.59;378.92;391.95;27.66;34.712;117.840;6.812;-35.966;42.779;interna;16.00;-3.471;-111.469;-44.747;94.391;107.998;200.6;47.05
TUBI;27;0;0;0.715;-0.7843;406.59;378.92;391.95;27.66;34.712;117.840;6.812;-35.966;42.779;media;17.52;-10.280;-53.807;6.107;53.632;59.914;200.6;26.73
TUBI;27;0;0;0.715;-0.7843;406.59;378.92;391.95;27.66;34.712;117.840;6.812;-35.966;42.779;esterna;19.05;-11.784;-5.695;52.715;61.680;64.499;200.6;30.75
TUBI;28;0;0;0.759;-0.7843;405.20;378.03;390.83;27.16;34.712;117.840;6.812;-35.966;42.779;interna;16.00;-3.471;-110.531;-43.808;93.650;107.060;200.8;46.63
TUBI;28;0;0;0.759;-0.7843;405.20;378.03;390.83;27.16;34.712;117.840;6.812;-35.966;42.779;media;17.52;-10.241;-53.833;6.120;53.676;59.953;200.8;26.73
TUBI;28;0;0;0.759;-0.7843;405.20;378.03;390.83;27.16;34.712;117.840;6.812;-35.966;42.779;esterna;19.05;-11.784;-6.531;51.879;61.206;63.663;200.8;30.48
TUBI;29;0;0;0.804;-0.7843;403.80;377.14;389.70;26.66;34.712;117.840;6.812;-35.966;42.779;interna;16.00;-3.471;-109.598;-42.875;92.918;106.126;201.1;46.21
TUBI;29;0;0;0.804;-0.7843;403.80;377.14;389.70;26.66;34.712;117.840;6.812;-35.966;42.779;media;17.52;-10.203;-53.859;6.133;53.720;59.991;201.1;26.72
TUBI;29;0;0;0.804;-0.7843;403.80;377.14;389.70;26.66;34.712;117.840;6.812;-35.966;42.779;esterna;19.05;-11.784;-7.362;51.048;60.742;62.832;201.1;30.21
TUBI;30;0;0;0.852;-0.7843;402.39;376.24;388.56;26.16;34.711;117.840;6.812;-35.966;42.779;interna;16.00;-3.471;-108.659;-41.936;92.185;105.188;201.3;45.80
TUBI;30;0;0;0.852;-0.7843;402.39;376.24;388.56;26.16;34.711;117.840;6.812;-35.966;42.779;media;17.52;-10.165;-53.884;6.145;53.763;60.030;201.3;26.71
TUBI;30;0;0;0.852;-0.7843;402.39;376.24;388.56;26.16;34.711;117.840;6.812;-35.966;42.779;esterna;19.05;-11.784;-8.198;50.213;60.283;61.997;201.3;29.95
TUBI;31;0;0;0.902;-0.7843;400.97;375.33;387.41;25.65;34.711;117.840;6.812;-35.966;42.779;interna;16.00;-3.471;-107.707;-40.984;91.445;104.236;201.5;45.38
TUBI;31;0;0;0.902;-0.7843;400.97;375.33;387.41;25.65;34.711;117.840;6.812;-35.966;42.779;media;17.52;-10.126;-53.911;6.158;53.808;60.069;201.5;26.70
TUBI;31;0;0;0.902;-0.7843;400.97;375.33;387.41;25.65;34.711;117.840;6.812;-35.966;42.779;esterna;19.05;-11.784;-9.046;49.365;59.827;61.149;201.5;29.69
TUBI;32;0;0;0.953;-0.7843;399.55;374.41;386.25;25.14;34.710;117.840;6.812;-35.966;42.779;interna;16.00;-3.471;-106.758;-40.034;90.712;103.287;201.8;44.96
TUBI;32;0;0;0.953;-0.7843;399.55;374.41;386.25;25.14;34.710;117.840;6.812;-35.966;42.779;media;17.52;-10.087;-53.937;6.171;53.852;60.108;201.8;26.69
TUBI;32;0;0;0.953;-0.7843;399.55;374.41;386.25;25.14;34.710;117.840;6.812;-35.966;42.779;esterna;19.05;-11.784;-9.891;48.519;59.380;60.303;201.8;29.43
TUBI;33;0;0;1.007;-0.7843;398.11;373.48;385.08;24.62;34.710;117.840;6.812;-35.966;42.779;interna;16.00;-3.471;-105.803;-39.079;89.977;102.332;202.0;44.55
TUBI;33;0;0;1.007;-0.7843;398.11;373.48;385.08;24.62;34.710;117.840;6.812;-35.966;42.779;media;17.52;-10.047;-53.963;6.184;53.897;60.147;202.0;26.68
TUBI;33;0;0;1.007;-0.7843;398.11;373.48;385.08;24.62;34.710;117.840;6.812;-35.966;42.779;esterna;19.05;-11.784;-10.742;47.669;58.939;59.453;202.0;29.18
TUBI;34;0;0;1.063;-0.7843;396.65;372.55;383.90;24.10;34.709;117.840;6.812;-35.966;42.779;interna;16.00;-3.471;-104.833;-38.109;89.236;101.362;202.2;44.13
TUBI;34;0;0;1.063;-0.7843;396.65;372.55;383.90;24.10;34.709;117.840;6.812;-35.966;42.779;media;17.52;-10.008;-53.990;6.198;53.942;60.187;202.2;26.68
TUBI;34;0;0;1.063;-0.7843;396.65;372.55;383.90;24.10;34.709;117.840;6.812;-35.966;42.779;esterna;19.05;-11.784;-11.606;46.805;58.500;58.589;202.2;28.93
TUBI;35;0;0;1.122;-0.7843;395.19;371.60;382.71;23.58;34.709;117.840;6.812;-35.966;42.779;interna;16.00;-3.471;-103.866;-37.141;88.501;100.395;202.5;43.71
TUBI;35;0;0;1.122;-0.7843;395.19;371.60;382.71;23.58;34.709;117.840;6.812;-35.966;42.779;media;17.52;-9.968;-54.016;6.211;53.988;60.227;202.5;26.67
TUBI;35;0;0;1.122;-0.7843;395.19;371.60;382.71;23.58;34.709;117.840;6.812;-35.966;42.779;esterna;19.05;-11.784;-12.468;45.944;58.073;58.411;202.5;28.68
TUBI;36;0;0;1.182;-0.7843;393.71;370.65;381.51;23.06;34.708;117.840;6.812;-35.966;42.779;interna;16.00;-3.471;-102.884;-36.159;87.760;99.413;202.7;43.30
TUBI;36;0;0;1.182;-0.7843;393.71;370.65;381.51;23.06;34.708;117.840;6.812;-35.966;42.779;media;17.52;-9.928;-54.043;6.224;54.034;60.268;202.7;26.66
TUBI;36;0;0;1.182;-0.7843;393.71;370.65;381.51;23.06;34.708;117.840;6.812;-35.966;42.779;esterna;19.05;-11.784;-13.343;45.069;57.648;58.412;202.7;28.44
TUBI;37;0;0;1.246;-0.7843;392.31;369.75;380.38;22.56;34.708;117.840;6.812;-35.966;42.779;interna;16.00;-3.471;-101.966;-35.241;87.072;98.495;202.9;42.91
TUBI;37;0;0;1.246;-0.7843;392.31;369.75;380.38;22.56;34.708;117.840;6.812;-35.966;42.779;media;17.52;-9.890;-54.069;6.237;54.077;60.306;202.9;26.65
TUBI;37;0;0;1.246;-0.7843;392.31;369.75;380.38;22.56;34.708;117.840;6.812;-35.966;42.779;esterna;19.05;-11.784;-14.160;44.252;57.261;58.412;202.9;28.22
TUBI;38;0;0;1.311;-0.7843;390.81;368.78;379.16;22.03;34.707;117.840;6.812;-35.966;42.779;interna;16.00;-3.471;-100.980;-34.254;86.336;97.509;203.2;42.49
TUBI;38;0;0;1.311;-0.7843;390.81;368.78;379.16;22.03;34.707;117.840;6.812;-35.966;42.779;media;17.52;-9.850;-54.096;6.250;54.123;60.346;203.2;26.64
TUBI;38;0;0;1.311;-0.7843;390.81;368.78;379.16;22.03;34.707;117.840;6.812;-35.966;42.779;esterna;19.05;-11.784;-15.039;43.373;56.855;58.412;203.2;27.98
TUBI;39;0;0;1.380;-0.7843;389.29;367.80;377.92;21.50;34.706;117.840;6.812;-35.966;42.779;interna;16.00;-3.471;-99.980;-33.254;85.596;96.509;203.4;42.08
TUBI;39;0;0;1.380;-0.7843;389.29;367.80;377.92;21.50;34.706;117.840;6.812;-35.966;42.779;media;17.52;-9.809;-54.124;6.264;54.170;60.388;203.4;26.63
TUBI;39;0;0;1.380;-0.7843;389.29;367.80;377.92;21.50;34.706;117.840;6.812;-35.966;42.779;esterna;19.05;-11.784;-15.929;42.483;56.454;58.413;203.4;27.75
TUBI;40;0;0;1.452;-0.7843;387.77;366.81;376.68;20.96;34.706;117.840;6.812;-35.966;42.779;interna;16.00;-3.471;-98.982;-32.256;84.863;95.512;203.7;41.67
TUBI;40;0;0;1.452;-0.7843;387.77;366.81;376.68;20.96;34.706;117.840;6.812;-35.966;42.779;media;17.52;-9.768;-54.151;6.278;54.217;60.429;203.7;26.62
TUBI;40;0;0;1.452;-0.7843;387.77;366.81;376.68;20.96;34.706;117.840;6.812;-35.966;42.779;esterna;19.05;-11.784;-16.818;41.595;56.065;58.413;203.7;27.53
TUBI;41;0;0;1.526;-0.7843;386.23;365.81;375.42;20.42;34.705;117.840;6.812;-35.966;42.779;interna;16.00;-3.471;-97.973;-31.246;84.127;94.502;203.9;41.26
TUBI;41;0;0;1.526;-0.7843;386.23;365.81;375.42;20.42;34.705;117.840;6.812;-35.966;42.779;media;17.52;-9.727;-54.179;6.292;54.265;60.471;203.9;26.61
TUBI;41;0;0;1.526;-0.7843;386.23;365.81;375.42;20.42;34.705;117.840;6.812;-35.966;42.779;esterna;19.05;-11.784;-17.718;40.695;55.684;58.413;203.9;27.31
TUBI;42;0;0;1.603;-0.7843;384.68;364.80;374.16;19.88;34.704;117.840;6.812;-35.966;42.779;interna;16.00;-3.470;-96.959;-30.232;83.393;93.488;204.2;40.85
TUBI;42;0;0;1.603;-0.7843;384.68;364.80;374.16;19.88;34.704;117.840;6.812;-35.966;42.779;media;17.52;-9.685;-54.207;6.306;54.312;60.512;204.2;26.60
TUBI;42;0;0;1.603;-0.7843;384.68;364.80;374.16;19.88;34.704;117.840;6.812;-35.966;42.779;esterna;19.05;-11.784;-18.621;39.792;55.313;58.413;204.2;27.09
TUBI;43;0;0;1.684;-0.7843;383.12;363.78;372.89;19.33;34.704;117.840;6.812;-35.966;42.779;interna;16.00;-3.470;-95.947;-29.220;82.667;92.477;204.4;40.44
TUBI;43;0;0;1.684;-0.7843;383.12;363.78;372.89;19.33;34.704;117.840;6.812;-35.966;42.779;media;17.52;-9.644;-54.235;6.319;54.360;60.554;204.4;26.59
TUBI;43;0;0;1.684;-0.7843;383.12;363.78;372.89;19.33;34.704;117.840;6.812;-35.966;42.779;esterna;19.05;-11.784;-19.522;38.891;54.955;58.414;204.4;26.88
TUBI;44;0;0;1.768;-0.7843;381.54;362.76;371.61;18.79;34.703;117.840;6.812;-35.966;42.779;interna;16.00;-3.470;-94.926;-28.199;81.940;91.456;204.7;40.03
TUBI;44;0;0;1.768;-0.7843;381.54;362.76;371.61;18.79;34.703;117.840;6.812;-35.966;42.779;media;17.52;-9.602;-54.263;6.333;54.408;60.596;204.7;26.58
TUBI;44;0;0;1.768;-0.7843;381.54;362.76;371.61;18.79;34.703;117.840;6.812;-35.966;42.779;esterna;19.05;-11.784;-20.432;37.982;54.606;58.414;204.7;26.68
TUBI;45;0;0;1.855;-0.7843;379.97;361.73;370.32;18.24;34.702;117.840;6.812;-35.966;42.779;interna;16.00;-3.470;-93.909;-27.181;81.222;90.439;204.9;39.63
TUBI;45;0;0;1.855;-0.7843;379.97;361.73;370.32;18.24;34.702;117.840;6.812;-35.966;42.779;media;17.52;-9.560;-54.291;6.347;54.456;60.638;204.9;26.57
TUBI;45;0;0;1.855;-0.7843;379.97;361.73;370.32;18.24;34.702;117.840;6.812;-35.966;42.779;esterna;19.05;-11.784;-21.338;37.076;54.272;58.414;204.9;26.48
TUBI;46;0;0;1.947;-0.7843;378.38;360.69;369.02;17.69;34.702;117.840;6.812;-35.966;42.779;interna;16.00;-3.470;-92.884;-26.156;80.505;89.414;205.2;39.23
TUBI;46;0;0;1.947;-0.7843;378.38;360.69;369.02;17.69;34.702;117.840;6.812;-35.966;42.779;media;17.52;-9.518;-54.319;6.361;54.505;60.681;205.2;26.56
TUBI;46;0;0;1.947;-0.7843;378.38;360.69;369.02;17.69;34.702;117.840;6.812;-35.966;42.779;esterna;19.05;-11.784;-22.251;36.163;53.948;58.415;205.2;26.29
TUBI;47;0;0;2.041;-0.7843;376.79;359.65;367.72;17.14;34.701;117.840;6.812;-35.966;42.779;interna;16.00;-3.470;-91.859;-25.130;79.795;88.389;205.5;38.84
TUBI;47;0;0;2.041;-0.7843;376.79;359.65;367.72;17.14;34.701;117.840;6.812;-35.966;42.779;media;17.52;-9.476;-54.348;6.375;54.553;60.723;205.5;26.55
TUBI;47;0;0;2.041;-0.7843;376.79;359.65;367.72;17.14;34.701;117.840;6.812;-35.966;42.779;esterna;19.05;-11.784;-23.165;35.250;53.638;58.415;205.5;26.11
TUBI;48;0;0;2.140;-0.7843;375.19;358.60;366.41;16.59;34.700;117.840;6.812;-35.966;42.779;interna;16.00;-3.470;-90.839;-24.109;79.095;87.369;205.7;38.45
